study_id	theme	name
83	Clinical Features	South Africa
84	Clinical Features	Nigeria
85	Clinical Features	Morocco
86	Clinical Features	Ghana
87	Clinical Features	Nigeria
88	Clinical Features	South Africa
89	Clinical Features	Senegal
90	Clinical Features	Tanzania
91	Clinical Features	Nigeria
92	Clinical Features	Nigeria
93	Clinical Features	Egypt
94	Clinical Features	Niger
95	Clinical Features	Madagascar
96	Clinical Features	Nigeria
97	Clinical Features	Nigeria
98	Clinical Features	Ethiopia
99	Clinical Features	Morocco
100	Clinical Features	Ethiopia
101	Clinical Features	South Africa
102	Clinical Features	Ethiopia
103	Clinical Features	Nigeria
104	Clinical Features	Nigeria
104	Clinical Features	Egypt
104	Clinical Features	Cameroon
105	Clinical Features	South Africa
106	Clinical Features	Morocco
107	Clinical Features	Ghana
107	Clinical Features	Zambia
107	Clinical Features	
108	Clinical Features	Nigeria
109	Clinical Features	South Africa
110	Clinical Features	Morocco
111	Clinical Features	Ethiopia
112	Clinical Features	Kenya
113	Clinical Features	Egypt
114	Clinical Features	Morocco
115	Clinical Features	Tunisia
116	Clinical Features	South Africa
117	Epidemiology	Libya
118	Epidemiology	Nigeria
119	Epidemiology	Ethiopia
120	Epidemiology	Tunisia
121	Epidemiology	Cameroon
122	Epidemiology	Tanzania
123	Epidemiology	Nigeria
124	Epidemiology	Tanzania
125	Epidemiology	Egypt
126	Epidemiology	Egypt
127	Epidemiology	Egypt
128	Epidemiology	Cameroon
129	Epidemiology	Cameroon
130	Epidemiology	Nigeria
131	Risk Factors	South Africa
132	Risk Factors	Malawi
132	Risk Factors	Mozambique
133	Risk Factors	Ghana
134	Risk Factors	Nigeria
135	Risk Factors	Egypt
136	Risk Factors	Egypt
137	Risk Factors	South Africa
138	Risk Factors	Tunisia
139	Risk Factors	Morocco
140	Risk Factors	Tunisia
141	Risk Factors	South Africa
142	Management And Access To Care	Tanzania
143	Management And Access To Care	Kenya
144	Management And Access To Care	Nigeria
145	Management And Access To Care	Egypt
145	Management And Access To Care	Congo
145	Management And Access To Care	Tunisia
145	Management And Access To Care	Nigeria
145	Management And Access To Care	Ethiopia
145	Management And Access To Care	Cameroon
145	Management And Access To Care	Morocco
145	Management And Access To Care	Sudan
145	Management And Access To Care	Algeria
145	Management And Access To Care	Madagascar
145	Management And Access To Care	Ivory Coast
145	Management And Access To Care	Niger
145	Management And Access To Care	Burkina Faso
145	Management And Access To Care	Uganda
145	Management And Access To Care	Somalia
145	Management And Access To Care	Malawi
145	Management And Access To Care	Burundi
145	Management And Access To Care	Namibia
145	Management And Access To Care	Libya
145	Management And Access To Care	Botswana
145	Management And Access To Care	Chad
145	Management And Access To Care	Djibouti
145	Management And Access To Care	Zimbabwe
145	Management And Access To Care	Kenya
145	Management And Access To Care	Tanzania
145	Management And Access To Care	Ghana
145	Management And Access To Care	Zambia
145	Management And Access To Care	South Africa
146	Management And Access To Care	Tunisia
147	Patient Engagement And Qol	Tanzania
148	Patient Engagement And Qol	Nigeria
149	Patient Engagement And Qol	Nigeria
150	Patient Engagement And Qol	Uganda
151	Patient Engagement And Qol	South Africa
152	Patient Engagement And Qol	Ethiopia
153	Clinical Features	Egypt
154	Clinical Features	Egypt
155	Patient Engagement And Qol	Kenya
156	Education And Training	Cameroon
157	Education And Training	Cameroon
158	Education And Training	Cameroon
